Code-1,Code-2,Bezeichnung,Richtung,Betrag
01,0101,Bezirksvertretungen (frei verfügbare Mittel),Erträge,"1.500,00"
01,0101,Bezirksvertretungen (frei verfügbare Mittel),Aufwendungen,"168.835,02"
01,0102,"Geschäftsführung für politische Gremien, Städtepartnerschaften",Erträge,"128.083,70"
01,0102,"Geschäftsführung für politische Gremien, Städtepartnerschaften",Aufwendungen,"3.594.247,18"
01,0103,"OB, BM und Verwaltungsführung",Erträge,"5.036,21"
01,0103,"OB, BM und Verwaltungsführung",Aufwendungen,"4.172.834,30"
01,0104,Gleichstellung von Frau und Mann,Erträge,"17.687,30"
01,0104,Gleichstellung von Frau und Mann,Aufwendungen,"667.505,95"
01,0105,Personal- und Schwerbehindertenvertretung,Erträge,"112.170,00"
01,0105,Personal- und Schwerbehindertenvertretung,Aufwendungen,"1.221.770,21"
01,0106,Wirtschaftlichkeitsprüfung und Revision,Erträge,"46.978,00"
01,0106,Wirtschaftlichkeitsprüfung und Revision,Aufwendungen,"1.256.825,21"
01,0107,Public Relations,Erträge,"58.860,36"
01,0107,Public Relations,Aufwendungen,"1.382.348,43"
01,0108,Personal- und Organisationsmanagement,Erträge,"2.077.724,15"
01,0108,Personal- und Organisationsmanagement,Aufwendungen,"8.156.801,51"
01,0109,Finanz- und Beteiligungsmanagement,Erträge,"2.142.753,62"
01,0109,Finanz- und Beteiligungsmanagement,Aufwendungen,"8.628.713,68"
01,0110,Recht,Erträge,"488.951,84"
01,0110,Recht,Aufwendungen,"1.659.709,93"
01,0111,Immobilienmanagement,Erträge,"42.787.449,78"
01,0111,Immobilienmanagement,Aufwendungen,"83.628.343,34"
01,0113,Zentrale Dienste,Erträge,"1.121.790,53"
01,0113,Zentrale Dienste,Aufwendungen,"2.719.661,62"
01,0114,Verwaltung der Kommunalen Stiftungen,Erträge,"166.646,06"
01,0114,Verwaltung der Kommunalen Stiftungen,Aufwendungen,"391.973,02"
01,0115,IT-Management (citeq),Erträge,"4.968,64"
01,0115,IT-Management (citeq),Aufwendungen,"331.548,29"
01,0116,Migrations- und Integrationsmanagement,Erträge,"150.553,00"
01,0116,Migrations- und Integrationsmanagement,Aufwendungen,"694.262,36"
02,0201,Ordnungsrechtliche Angelegenheiten,Erträge,"240.371,87"
02,0201,Ordnungsrechtliche Angelegenheiten,Aufwendungen,"2.071.313,54"
02,0202,Gewerberechtliche Angelegenheiten,Erträge,"1.326.429,78"
02,0202,Gewerberechtliche Angelegenheiten,Aufwendungen,"1.669.367,52"
02,0203,Straßenverkehrsrechtliche Angelegenheiten,Erträge,"8.310.254,87"
02,0203,Straßenverkehrsrechtliche Angelegenheiten,Aufwendungen,"7.426.112,93"
02,0204,Bürgerangelegenheiten,Erträge,"2.389.566,12"
02,0204,Bürgerangelegenheiten,Aufwendungen,"6.493.003,87"
02,0205,Standesamtsangelegenheiten,Erträge,"705.178,41"
02,0205,Standesamtsangelegenheiten,Aufwendungen,"1.556.115,54"
02,0206,Ausländerangelegenheiten,Erträge,"529.135,83"
02,0206,Ausländerangelegenheiten,Aufwendungen,"2.013.782,58"
02,0207,Statistik,Erträge,"775,25"
02,0207,Statistik,Aufwendungen,"584.169,77"
02,0208,Wahlen,Erträge,"367.806,03"
02,0208,Wahlen,Aufwendungen,"626.936,40"
02,0209,Brandschutz und feuerwehrtechnische Hilfeleistung,Erträge,"1.218.455,52"
02,0209,Brandschutz und feuerwehrtechnische Hilfeleistung,Aufwendungen,"25.062.653,95"
02,0210,Rettungsdienst,Erträge,"10.465.780,88"
02,0210,Rettungsdienst,Aufwendungen,"11.113.458,51"
02,0211,Veterinär- und Lebensmittelangelegenheiten,Erträge,"87.996,11"
02,0211,Veterinär- und Lebensmittelangelegenheiten,Aufwendungen,"1.894.274,74"
03,0301,Leistungen für Schulen,Erträge,"2.184.685,88"
03,0301,Leistungen für Schulen,Aufwendungen,"27.022.977,15"
03,0302,Zentrale Leistungen für am Schulleben Beteiligte,Erträge,"418.389,52"
03,0302,Zentrale Leistungen für am Schulleben Beteiligte,Aufwendungen,"11.729.050,99"
04,0401,Kulturmanagement / Kulturförderung,Erträge,"651.670,15"
04,0401,Kulturmanagement / Kulturförderung,Aufwendungen,"3.892.231,37"
04,0402,Volkshochschule,Erträge,"2.477.298,76"
04,0402,Volkshochschule,Aufwendungen,"4.098.066,85"
04,0403,Westf. Schule für Musik und Förderung der Stadtteilmusikschulen,Erträge,"2.154.689,02"
04,0403,Westf. Schule für Musik und Förderung der Stadtteilmusikschulen,Aufwendungen,"4.703.400,06"
04,0404,Stadtbücherei und Förderung von Büchereien freier Träger,Erträge,"762.410,89"
04,0404,Stadtbücherei und Förderung von Büchereien freier Träger,Aufwendungen,"5.102.540,60"
04,0405,Stadtmuseum,Erträge,"172.574,73"
04,0405,Stadtmuseum,Aufwendungen,"1.679.235,22"
04,0406,Stadtarchiv,Erträge,"13.548,29"
04,0406,Stadtarchiv,Aufwendungen,"760.080,45"
04,0407,Theater Münster,Erträge,"25.000,00"
04,0407,Theater Münster,Aufwendungen,"18.863.597,60"
04,0408,Geschichtsort Villa ten Hompel,Erträge,"342.749,63"
04,0408,Geschichtsort Villa ten Hompel,Aufwendungen,"866.124,66"
05,0501,Leistungen der Grundsicherung nach dem SGB II,Erträge,"113.309.495,38"
05,0501,Leistungen der Grundsicherung nach dem SGB II,Aufwendungen,"149.203.840,24"
