Code-1,Code-2,Bezeichnung,Richtung,Betrag
03,0301,Leistungen für Schulen,Einnamen,"2.876.414,60"
03,0301,Leistungen für Schulen,Ausgaben,"35.609.965,56"
03,0302,Zentrale Leistungen für am Schulleben Beteiligte,Einnamen,"476.278,38"
03,0302,Zentrale Leistungen für am Schulleben Beteiligte,Ausgaben,"12.137.816,80"
04,0401,Kulturmanagement / Kulturförderung,Einnamen,"408.007,94"
04,0401,Kulturmanagement / Kulturförderung,Ausgaben,"4.544.482,50"
04,0402,Volkshochschule,Einnamen,"2.399.054,80"
04,0402,Volkshochschule,Ausgaben,"3.823.835,92"
04,0403,Westf. Schule für Musik und Förderung der Stadtteilmusikschulen,Einnamen,"2.459.020,14"
04,0403,Westf. Schule für Musik und Förderung der Stadtteilmusikschulen,Ausgaben,"4.970.719,54"
04,0404,Stadtbücherei und Förderung von Büchereien freier Träger,Einnamen,"744.584,38"
04,0404,Stadtbücherei und Förderung von Büchereien freier Träger,Ausgaben,"5.358.478,90"
04,0405,Stadtmuseum,Einnamen,"130.394,41"
04,0405,Stadtmuseum,Ausgaben,"1.748.478,05"
04,0406,Stadtarchiv,Einnamen,"10.940,36"
04,0406,Stadtarchiv,Ausgaben,"818.008,06"
04,0407,Theater Münster,Einnamen,"25.000,00"
04,0407,Theater Münster,Ausgaben,"20.390.603,99"
04,0408,Geschichtsort Villa ten Hompel,Einnamen,"55.349,12"
04,0408,Geschichtsort Villa ten Hompel,Ausgaben,"725.439,43"
05,0501,Leistungen der Grundsicherung nach dem SGB II,Einnamen,"125.389.919,84"
05,0501,Leistungen der Grundsicherung nach dem SGB II,Ausgaben,"160.954.337,12"
05,0502,Sicherung des Lebensunterhalts,Einnamen,"56.423.186,81"
05,0502,Sicherung des Lebensunterhalts,Ausgaben,"70.419.656,33"
05,0503,Sicherung besonderer sozialer Bedarfe,Einnamen,"6.497.243,39"
05,0503,Sicherung besonderer sozialer Bedarfe,Ausgaben,"45.536.952,85"
05,0504,Wohngeld,Einnamen,"2.480,76"
05,0504,Wohngeld,Ausgaben,"1.130.028,73"
06,0601,Förderung von Kindern in Tagesbetreuung,Einnamen,"66.510.534,92"
06,0601,Förderung von Kindern in Tagesbetreuung,Ausgaben,"109.958.801,35"
06,0602,Kinder- und Jugendarbeit,Einnamen,"10.126.944,17"
06,0602,Kinder- und Jugendarbeit,Ausgaben,"22.215.506,12"
06,0603,Förderung von benachteiligten jungen Menschen,Einnamen,"347.504,31"
06,0603,Förderung von benachteiligten jungen Menschen,Ausgaben,"5.580.309,72"
06,0604,Familienförderung,Einnamen,"301.664,44"
06,0604,Familienförderung,Ausgaben,"3.703.764,04"
06,0605,Erzieherische und wirtschaftliche Hilfen für Familien,Einnamen,"7.141.581,14"
06,0605,Erzieherische und wirtschaftliche Hilfen für Familien,Ausgaben,"55.858.790,83"
07,0701,Gesundheitsdienste,Einnamen,"936.563,53"
07,0701,Gesundheitsdienste,Ausgaben,"10.705.296,48"
08,0801,"Sportentwicklung, Sportanlagen und -stätten",Einnamen,"938.378,51"
08,0801,"Sportentwicklung, Sportanlagen und -stätten",Ausgaben,"7.933.657,85"
08,0802,Bäder,Einnamen,"1.173.538,70"
