Produktbereich,Produktgruppe,Produktbereichsname,Produktgruppenbezeichnung,Jahr,Richtung,Betrag,Betrag-Typ
01,0101,Innere Verwaltung,Bezirksvertretungen (frei verfügbare Mittel),2007,Ausgaben,0,Ergebnis
01,0102,Innere Verwaltung,"Geschäftsführung für politische Gremien, Städtepartnerschaften",2007,Einnamen,83396.57,Ergebnis
01,0102,Innere Verwaltung,"Geschäftsführung für politische Gremien, Städtepartnerschaften",2007,Ausgaben,3025165.2,Ergebnis
01,0103,Innere Verwaltung,"OBM, BM und Verwaltungsführung",2007,Einnamen,77586.72,Ergebnis
01,0103,Innere Verwaltung,"OBM, BM und Verwaltungsführung",2007,Ausgaben,2438892.26,Ergebnis
01,0104,Innere Verwaltung,Gleichstellung von Frau und Mann,2007,Einnamen,34394.52,Ergebnis
01,0104,Innere Verwaltung,Gleichstellung von Frau und Mann,2007,Ausgaben,525136.29,Ergebnis
01,0105,Innere Verwaltung,Personal- und Schwerbehindertenvertretung,2007,Einnamen,79700,Ergebnis
01,0105,Innere Verwaltung,Personal- und Schwerbehindertenvertretung,2007,Ausgaben,461014.85,Ergebnis
01,0106,Innere Verwaltung,Wirtschaftlichkeitsprüfung und Revision,2007,Einnamen,50005,Ergebnis
01,0106,Innere Verwaltung,Wirtschaftlichkeitsprüfung und Revision,2007,Ausgaben,819378.17,Ergebnis
01,0107,Innere Verwaltung,Public Relations,2007,Einnamen,110177.37,Ergebnis
01,0107,Innere Verwaltung,Public Relations,2007,Ausgaben,1009365.59,Ergebnis
01,0108,Innere Verwaltung,Personal- und Organisationsmanagement,2007,Einnamen,595146.47,Ergebnis
01,0108,Innere Verwaltung,Personal- und Organisationsmanagement,2007,Ausgaben,3733210.94,Ergebnis
01,0109,Innere Verwaltung,Finanz- und Beteiligungsmanagement,2007,Einnamen,0,Ergebnis
01,0109,Innere Verwaltung,Finanz- und Beteiligungsmanagement,2007,Ausgaben,0,Ergebnis
01,0110,Innere Verwaltung,Recht,2007,Einnamen,673505.99,Ergebnis
01,0110,Innere Verwaltung,Recht,2007,Ausgaben,2639150.86,Ergebnis
01,0111,Innere Verwaltung,Immobilienmanagement,2007,Einnamen,18071047.81,Ergebnis
01,0111,Innere Verwaltung,Immobilienmanagement,2007,Ausgaben,14972527.48,Ergebnis
01,0112,Innere Verwaltung,Gebäudemanagement,2007,Einnamen,7201238.11,Ergebnis
01,0112,Innere Verwaltung,Gebäudemanagement,2007,Ausgaben,58235895.48,Ergebnis
01,0113,Innere Verwaltung,Zentrale Dienste,2007,Einnamen,1287725.66,Ergebnis
01,0113,Innere Verwaltung,Zentrale Dienste,2007,Ausgaben,2615659.96,Ergebnis
01,0114,Innere Verwaltung,Stiftungsmanagement,2007,Einnamen,0,Ergebnis
01,0114,Innere Verwaltung,Stiftungsmanagement,2007,Ausgaben,0,Ergebnis
01,0115,Innere Verwaltung,IT-Management (citeq),2007,Einnamen,0,Ergebnis
01,0115,Innere Verwaltung,IT-Management (citeq),2007,Ausgaben,0,Ergebnis
01,0116,Innere Verwaltung,Migrations- und Integrationsmanagement,2007,Einnamen,0,Ergebnis
01,0116,Innere Verwaltung,Migrations- und Integrationsmanagement,2007,Ausgaben,0,Ergebnis
02,0201,Sicherheit und Ordnung,Ordnungsrechtliche Angelegenheiten,2007,Einnamen,536447.48,Ergebnis
