Code-1,Code-2,Bezeichnung,Richtung,Betrag
01,0101,Bezirksvertretungen (frei verfügbare Mittel),Erträge,
01,0101,Bezirksvertretungen (frei verfügbare Mittel),Aufwendungen,"172.862,84"
01,0102,"Geschäftsführung für politische Gremien, Städtepartnerschaften",Erträge,"52.140,99"
01,0102,"Geschäftsführung für politische Gremien, Städtepartnerschaften",Aufwendungen,"5.457.535,20"
01,0103,"OB, BM und Verwaltungsführung",Erträge,"49.821,20"
01,0103,"OB, BM und Verwaltungsführung",Aufwendungen,"3.356.903,42"
01,0104,Gleichstellung von Frau und Mann,Erträge,"22.364,42"
01,0104,Gleichstellung von Frau und Mann,Aufwendungen,"625.821,63"
01,0105,Personal- und Schwerbehindertenvertretung,Erträge,"118.542,19"
01,0105,Personal- und Schwerbehindertenvertretung,Aufwendungen,"797.586,69"
01,0106,Wirtschaftlichkeitsprüfung und Revision,Erträge,"43.400,00"
01,0106,Wirtschaftlichkeitsprüfung und Revision,Aufwendungen,"1.252.094,55"
01,0107,Public Relations,Erträge,"76.928,70"
01,0107,Public Relations,Aufwendungen,"1.274.995,28"
01,0108,Personal- und Organisationsmanagement,Erträge,"2.282.662,64"
01,0108,Personal- und Organisationsmanagement,Aufwendungen,"8.484.635,77"
01,0109,Finanz- und Beteiligungsmanagement,Erträge,"2.057.040,34"
01,0109,Finanz- und Beteiligungsmanagement,Aufwendungen,"9.348.835,83"
01,0110,Recht,Erträge,"687.978,56"
01,0110,Recht,Aufwendungen,"1.978.487,79"
01,0111,Immobilienmanagement,Erträge,"29.197.215,86"
01,0111,Immobilienmanagement,Aufwendungen,"82.198.803,47"
01,0113,Zentrale Dienste,Erträge,"1.634.267,81"
01,0113,Zentrale Dienste,Aufwendungen,"2.896.284,95"
01,0114,Stiftungsmanagement,Erträge,"319.343,55"
01,0114,Stiftungsmanagement,Aufwendungen,"358.300,57"
01,0115,IT-Management (citeq),Erträge,"0,00"
01,0115,IT-Management (citeq),Aufwendungen,"0,00"
01,0116,Migrations- und Integrationsmanagement,Erträge,"156.166,08"
01,0116,Migrations- und Integrationsmanagement,Aufwendungen,"689.878,33"
02,0201,Ordnungsrechtliche Angelegenheiten,Erträge,"677.154,20"
02,0201,Ordnungsrechtliche Angelegenheiten,Aufwendungen,"2.131.741,45"
02,0202,Gewerberechtliche Angelegenheiten,Erträge,"1.255.217,80"
02,0202,Gewerberechtliche Angelegenheiten,Aufwendungen,"1.611.770,62"
02,0203,Straßenverkehrsrechtliche Angelegenheiten,Erträge,"8.862.686,22"
02,0203,Straßenverkehrsrechtliche Angelegenheiten,Aufwendungen,"7.539.060,20"
02,0204,Bürgerangelegenheiten,Erträge,"2.656.252,81"
02,0204,Bürgerangelegenheiten,Aufwendungen,"6.618.441,31"
02,0205,Standesamtsangelegenheiten,Erträge,"514.217,49"
02,0205,Standesamtsangelegenheiten,Aufwendungen,"1.397.161,37"
02,0206,Ausländerangelegenheiten,Erträge,"412.537,88"
02,0206,Ausländerangelegenheiten,Aufwendungen,"1.836.182,56"
02,0207,Statistik,Erträge,"1.579,06"
02,0207,Statistik,Aufwendungen,"544.794,71"
02,0208,Wahlen,Erträge,"409.521,00"
02,0208,Wahlen,Aufwendungen,"622.203,73"
02,0209,Brandschutz und feuerwehrtechnische Hilfeleistung,Erträge,"1.321.945,21"
02,0209,Brandschutz und feuerwehrtechnische Hilfeleistung,Aufwendungen,"19.991.566,98"
02,0210,Rettungsdienst,Erträge,"9.400.885,28"
02,0210,Rettungsdienst,Aufwendungen,"9.366.799,86"
02,0211,Veterinär- und Lebensmittelangelegenheiten,Erträge,"90.860,67"
02,0211,Veterinär- und Lebensmittelangelegenheiten,Aufwendungen,"2.304.280,54"
