Code-1,Code-2,Bezeichnung,Richtung,Betrag
01,0101,Bezirksvertretungen (frei verfügbare Mittel),Erträge,"3.750,00"
01,0101,Bezirksvertretungen (frei verfügbare Mittel),Aufwendungen,"164.083,76"
01,0102,"Geschäftsführung für politische Gremien, Städtepartnerschaften",Erträge,"174.053,97"
01,0102,"Geschäftsführung für politische Gremien, Städtepartnerschaften",Aufwendungen,"4.119.583,99"
01,0103,"OB, BM und Verwaltungsführung",Erträge,"54.092,10"
01,0103,"OB, BM und Verwaltungsführung",Aufwendungen,"5.244.625,80"
01,0104,Gleichstellung von Frau und Mann,Erträge,"15.313,68"
01,0104,Gleichstellung von Frau und Mann,Aufwendungen,"943.258,90"
01,0105,Personal- und Schwerbehindertenvertretung,Erträge,"142.744,17"
01,0105,Personal- und Schwerbehindertenvertretung,Aufwendungen,"1.344.615,66"
01,0106,Wirtschaftlichkeitsprüfung und Revision,Erträge,"52.138,90"
01,0106,Wirtschaftlichkeitsprüfung und Revision,Aufwendungen,"1.543.649,77"
01,0107,Public Relations,Erträge,"75.299,37"
01,0107,Public Relations,Aufwendungen,"1.388.746,37"
01,0108,Personal- und Organisationsmanagement,Erträge,"2.400.889,10"
01,0108,Personal- und Organisationsmanagement,Aufwendungen,"10.243.291,23"
01,0109,Finanz- und Beteiligungsmanagement,Erträge,"1.917.004,72"
01,0109,Finanz- und Beteiligungsmanagement,Aufwendungen,"9.932.853,59"
01,0110,Recht,Erträge,"496.718,18"
01,0110,Recht,Aufwendungen,"1.892.060,10"
01,0111,Immobilienmanagement,Erträge,"34.608.119,15"
01,0111,Immobilienmanagement,Aufwendungen,"98.843.566,82"
01,0113,Zentrale Dienste,Erträge,"2.256.682,06"
01,0113,Zentrale Dienste,Aufwendungen,"3.013.643,02"
01,0114,Verwaltung der Kommunalen Stiftungen,Erträge,"224.374,49"
01,0114,Verwaltung der Kommunalen Stiftungen,Aufwendungen,"454.115,91"
01,0115,IT-Management (citeq),Erträge,"122.456,70"
01,0115,IT-Management (citeq),Aufwendungen,"334.562,98"
01,0116,Migrations- und Integrationsmanagement,Erträge,"406.964,66"
01,0116,Migrations- und Integrationsmanagement,Aufwendungen,"1.122.368,31"
02,0201,Ordnungsrechtliche Angelegenheiten,Erträge,"1.966.613,44"
02,0201,Ordnungsrechtliche Angelegenheiten,Aufwendungen,"4.206.839,33"
02,0202,Gewerberechtliche Angelegenheiten,Erträge,"1.244.400,40"
02,0202,Gewerberechtliche Angelegenheiten,Aufwendungen,"1.761.009,63"
02,0203,Straßenverkehrsrechtliche Angelegenheiten,Erträge,"8.745.553,54"
02,0203,Straßenverkehrsrechtliche Angelegenheiten,Aufwendungen,"8.434.340,47"
02,0204,Bürgerangelegenheiten,Erträge,"2.737.231,43"
02,0204,Bürgerangelegenheiten,Aufwendungen,"7.447.403,59"
02,0205,Standesamtsangelegenheiten,Erträge,"822.412,72"
02,0205,Standesamtsangelegenheiten,Aufwendungen,"1.530.589,54"
02,0206,Ausländerangelegenheiten,Erträge,"573.562,71"
02,0206,Ausländerangelegenheiten,Aufwendungen,"3.204.430,09"
02,0207,Statistik,Erträge,"1.727,26"
02,0207,Statistik,Aufwendungen,"592.274,92"
02,0208,Wahlen,Erträge,"466.806,11"
02,0208,Wahlen,Aufwendungen,"855.649,95"
02,0209,Brandschutz und feuerwehrtechnische Hilfeleistung,Erträge,"1.714.837,19"
02,0209,Brandschutz und feuerwehrtechnische Hilfeleistung,Aufwendungen,"27.275.935,34"
02,0210,Rettungsdienst,Erträge,"12.114.129,13"
02,0210,Rettungsdienst,Aufwendungen,"16.617.041,37"
02,0211,Veterinär- und Lebensmittelangelegenheiten,Erträge,"155.603,65"
02,0211,Veterinär- und Lebensmittelangelegenheiten,Aufwendungen,"2.557.805,49"
03,0301,Leistungen für Schulen,Erträge,"3.269.024,18"
03,0301,Leistungen für Schulen,Aufwendungen,"27.879.450,89"
03,0302,Zentrale Leistungen für am Schulleben Beteiligte,Erträge,"510.358,27"
03,0302,Zentrale Leistungen für am Schulleben Beteiligte,Aufwendungen,"13.111.660,75"
04,0401,Kulturmanagement / Kulturförderung,Erträge,"546.024,49"
04,0401,Kulturmanagement / Kulturförderung,Aufwendungen,"5.050.635,98"
04,0402,Volkshochschule,Erträge,"2.520.684,28"
04,0402,Volkshochschule,Aufwendungen,"3.949.039,45"
04,0403,Westf. Schule für Musik und Förderung der Stadtteilmusikschulen,Erträge,"2.423.852,99"
04,0403,Westf. Schule für Musik und Förderung der Stadtteilmusikschulen,Aufwendungen,"5.054.706,71"
04,0404,Stadtbücherei und Förderung von Büchereien freier Träger,Erträge,"789.648,49"
04,0404,Stadtbücherei und Förderung von Büchereien freier Träger,Aufwendungen,"5.389.427,94"
04,0405,Stadtmuseum,Erträge,"179.643,80"
04,0405,Stadtmuseum,Aufwendungen,"1.912.344,98"
04,0406,Stadtarchiv,Erträge,"17.096,10"
04,0406,Stadtarchiv,Aufwendungen,"890.795,16"
04,0407,Theater Münster,Erträge,"225.000,00"
04,0407,Theater Münster,Aufwendungen,"20.846.094,64"
04,0408,Geschichtsort Villa ten Hompel,Erträge,"380.806,97"
04,0408,Geschichtsort Villa ten Hompel,Aufwendungen,"890.187,13"
05,0501,Leistungen der Grundsicherung nach dem SGB II,Erträge,"143.467.274,00"
05,0501,Leistungen der Grundsicherung nach dem SGB II,Aufwendungen,"176.943.340,44"
05,0502,Sicherung des Lebensunterhalts,Erträge,"48.914.358,99"
05,0502,Sicherung des Lebensunterhalts,Aufwendungen,"63.749.597,82"
05,0503,Sicherung besonderer sozialer Bedarfe,Erträge,"4.630.447,40"
05,0503,Sicherung besonderer sozialer Bedarfe,Aufwendungen,"45.303.133,65"
05,0504,Wohngeld,Erträge,"2.868,75"
05,0504,Wohngeld,Aufwendungen,"1.177.529,09"
06,0601,Förderung von Kindern in Tagesbetreuung,Erträge,"83.749.962,08"
06,0601,Förderung von Kindern in Tagesbetreuung,Aufwendungen,"118.569.831,47"
06,0602,Kinder- und Jugendarbeit,Erträge,"11.081.611,93"
06,0602,Kinder- und Jugendarbeit,Aufwendungen,"23.821.213,30"
06,0603,Förderung von benachteiligten jungen Menschen,Erträge,"326.189,40"
06,0603,Förderung von benachteiligten jungen Menschen,Aufwendungen,"6.263.380,08"
06,0604,Familienförderung,Erträge,"346.088,39"
06,0604,Familienförderung,Aufwendungen,"4.073.737,16"
06,0605,Erzieherische und wirtschaftliche Hilfen für Familien,Erträge,"26.999.236,04"
06,0605,Erzieherische und wirtschaftliche Hilfen für Familien,Aufwendungen,"64.032.216,87"
07,0701,Gesundheitsdienste,Erträge,"976.521,02"
07,0701,Gesundheitsdienste,Aufwendungen,"11.103.345,43"
08,0801,"Sportentwicklung, Sportanlagen und -stätten",Erträge,"994.300,59"
08,0801,"Sportentwicklung, Sportanlagen und -stätten",Aufwendungen,"7.847.792,52"
08,0802,Bäder,Erträge,"1.309.933,60"
08,0802,Bäder,Aufwendungen,"4.608.248,38"
09,0901,"Stadt- und Regionalentwicklung, Stadtplanung",Erträge,"339.886,02"
09,0901,"Stadt- und Regionalentwicklung, Stadtplanung",Aufwendungen,"10.164.621,76"
09,0902,"Vermessung, Kataster und Geoinformation",Erträge,"903.313,51"
09,0902,"Vermessung, Kataster und Geoinformation",Aufwendungen,"7.309.661,38"
